model_id,index,front,nmaterials,minPoint,maxPoint,aligned.dims,,variantIds
116,20,"0,0,1",3,"-0.90174603, -1.54078E-5, -0.2","0.901479, 0.4, 0.2","180.32251, 40.00154, 40.0",,
117,21,"0,0,1",2,"-0.725, 0.0, -0.245","0.725, 0.4, 0.246488","145.0, 40.0, 49.148796",,
118,22,"0,0,1",2,"-0.529959, 0.0, -0.159937","0.529959, 1.64988, 0.159937","105.991806, 164.988, 31.987398",,
119,23,"0,0,1",1,"-0.465, 0.0, -0.465","0.465, 0.560128, 0.465","93.0, 56.012802, 93.0",,
120,24,"0,0,1",4,"-0.16, 0.0, -0.11597301","0.16, 0.24006, 0.11","32.0, 24.006, 22.597301",,
121,25,"0,0,1",3,"-1.005, 3.0994415E-6, -0.22","1.005, 2.21, 0.220027","201.0, 220.9997, 44.0027",,
122,26,"0,0,1",3,"-0.4, 0.0, -0.580001","0.4, 2.12, 0.06999999","80.0, 211.99998, 65.0001",,"122,122_0"
122_0,26,"0,0,1",3,"-0.4, 0.0, -0.139991","0.4, 2.12, 0.07000001","80.0, 211.99998, 20.9991",,"122,122_0"
123,27,"0,0,1",1,"-0.28429, 0.0017597079, -0.0588182","0.28429, 0.299451, 0.0592651","56.857998, 29.769127, 11.80833",,
124,28,"0,0,1",4,"-0.0599996, -6.80536E-5, -0.0886237","0.060000405, 0.216266, 0.10903001","12.0, 21.633406, 19.76537",,
125,29,"0,0,1",3,"-0.591602, 0.0, -0.59446204","0.608399, 0.901373, 0.615538","120.0001, 90.13731, 121.0",,
126,30,"0,0,1",2,"-0.35, 0.0, -0.075","0.35, 1.4, 0.10000001","70.0, 140.0, 17.5",,
127,31,"0,0,1",2,"-0.065, 1.720041E-4, -0.064976","0.065, 0.214893, 0.0848018","13.0, 21.4721, 14.977779",,
128,32,"0,0,1",2,"-0.4, 0.0, -0.307724","0.4, 1.16999, 0.30746996","80.0, 116.99899, 61.5194",,
129,33,"0,0,1",2,"-0.6, 0.0, -0.15599999","0.6, 0.9, 0.148375","120.00001, 90.0, 30.4375",,
130,34,"0,0,1",2,"-0.322941, 0.0, -0.285079","0.24389297, 0.602371, 0.232081","56.683403, 60.2371, 51.716",,
131,35,"0,0,1",2,"-0.45, 0.0015166998, -0.31","0.45, 1.8, 0.31087","90.0, 179.84833, 62.086998",,
132,36,"0,0,1",2,"-0.314134, 0.0, -0.22438201","0.314134, 0.978794, 0.224381","62.8268, 97.879395, 44.8763",,
133,37,"0,0,1",4,"-0.95, 0.0, -0.67569","0.95, 2.12, 0.09430939","190.0, 211.99998, 76.99994",,"133,133_0"
133_0,37,"0,0,1",4,"-0.95, 0.0, -0.163259","0.95, 2.12, 0.09430942","190.0, 211.99998, 25.75684",,"133,133_0"
134,38,"0,0,1",2,"-0.775, 0.0, -0.65547395","0.775, 0.928589, 0.654958","155.0, 92.8589, 131.04321",,
135,39,"0,0,1",7,"-0.50000596, 0.0, -0.400004","0.5, 2.3, 0.4","100.0006, 230.0, 80.0004",,
136,40,"0,0,1",7,"-0.470287, 0.0, -0.47143","0.469452, 1.49958, 0.468225","93.97389, 149.95801, 93.9655",,
137,41,"0,0,1",3,"-0.597645, 0.0, -0.599225","0.602048, 0.900014, 0.600774","119.9693, 90.001396, 119.99989",,
138,42,"0,0,1",3,"-0.597952, 0.0, -0.599226","0.60204804, 0.900014, 0.600775","120.0, 90.001396, 120.0001",,
139,43,"0,0,1",11,"-0.40000004, 0.0, -0.399989","0.399988, 2.07927, 0.39999998","79.998795, 207.92699, 79.9989",,
140,44,"0,0,1",1,"-0.55, 0.0, -0.25","0.55, 1.05, 0.250507","110.0, 104.99999, 50.050697",,
141,45,"0,0,1",2,"-0.4, 0.0, -0.135007","0.4, 1.19, 0.13509","80.0, 119.00001, 27.009697",,
142,46,"0,0,-1",2,"-0.22498599, 0.0, -0.160231","0.225014, 1.00424, 0.22739798","45.0, 100.424, 38.7629",,
143,47,"0,0,1",2,"-0.76, 0.0, -0.3","0.76, 1.38, 0.3","152.0, 138.0, 60.000004",,
144,48,"0,0,1",2,"-0.3, 0.0, -0.0100001","0.3, 1.2, 0.01","60.000004, 120.00001, 2.00001",,
145,49,"0,0,1",2,"-0.445, 0.0, -0.165","0.445, 0.52, 0.165","89.0, 52.0, 33.0",,
146,50,"1,0,0",1,"-0.2, 0.0, -0.24","0.2, 0.53, 0.24","48.0, 52.999996, 40.0",,
147,51,"0,0,1",2,"-0.25, 0.0, -0.19999999","0.25, 0.5, 0.19891","50.0, 50.0, 39.891",,
148,52,"0,0,1",2,"-0.085, -3.7252903E-9, -0.1","0.085, 0.05, 0.1","17.0, 5.0000005, 20.0",,
149,53,"0,0,1",1,"-0.0801718, 0.0, -0.0801718","0.0821073, 0.0944916, 0.0801718","16.22791, 9.44916, 16.03436",,
150,54,"0,0,1",2,"-0.197566, 7.016659E-4, -0.292428","0.197566, 0.592311, 0.301048","39.5132, 59.160934, 59.3476",,
151,55,"0,0,1",1,"-1.3924501, 2.3841858E-7, -1.8017299","1.34783, 3.37339, 1.75827","274.028, 337.339, 356.0",,
152,56,"0,0,1",1,"-0.644192, 2.7155876E-4, -1.7161999","0.644192, 3.50354, 1.704","128.8384, 350.32684, 342.02",,
153,57,"0,0,1",5,"-0.5, -1.8626451E-8, -0.43","0.5, 0.015, 0.43","100.0, 1.5000019, 86.0",,
154,58,"0,0,1",2,"-0.265019, -7.4505806E-9, -0.158111","0.26457, 0.0719456, 0.158111","52.9589, 7.1945605, 31.622202",,
155,59,"0,0,1",3,"-1.205, 4.183054E-4, -0.485","1.205, 0.830177, 0.48516","241.00002, 82.975876, 97.016",,
156,60,"0,0,1",2,"-1.075, 0.0023565292, -0.46","1.075, 0.888118, 0.46","215.00002, 88.57616, 92.0",,
157,61,"0,0,1",2,"-1.35558, 0.0, -0.728794","1.35558, 1.04204, 0.75619996","271.116, 104.204, 148.49939",,
166,62,"0,0,1",2,"-0.315, 0.0, -0.4","0.315, 0.71, 0.399707","63.0, 71.0, 79.9707",,
167,63,"0,0,1",1,"-1.519527, 0.0, -0.968506","1.5175328, 1.044781, 0.96445906","303.706, 104.478096, 193.29651",,
168,64,"0,0,1",2,"-1.19, 0.0, -0.745","1.19031, 0.808198, 0.745","238.031, 80.81979, 149.0",,
169,65,"0,0,1",2,"-0.501614, 0.0, -0.415985","0.501614, 0.816311, 0.41524696","100.32279, 81.6311, 83.1232",,
170,66,"0,0,1",2,"-0.605206, 0.0, -0.569033","0.605206, 1.10223, 0.55514896","121.0412, 110.22299, 112.4182",,
171,67,"0,0,1",4,"-0.54, 0.0, -0.32","0.54, 0.46, 0.32","108.00001, 46.0, 64.0",,
172,68,"0,0,1",3,"-0.46, 1.257062E-4, -0.255","0.46, 0.500012, 0.255","92.0, 49.988625, 51.0",,
173,69,"0,0,1",3,"-0.6, 0.0, -0.33","0.6, 0.48, 0.33","120.00001, 48.0, 66.0",,
174,70,"0,0,1",3,"-0.29, 7.7587366E-4, -0.29","0.29, 0.560345, 0.29","58.0, 55.956913, 58.0",,
175,71,"0,0,1",2,"-0.2, -0.0018050671, -0.110059","0.2, 0.246287, 0.109941","40.0, 24.809206, 22.0",,
176,72,"0,0,1",2,"-0.0676554, 0.002344489, -0.079553604","0.0676554, 0.137655, 0.077982694","13.53108, 13.531051, 15.75363",,
178,73,"0,0,1",2,"-0.140464, -2.2029877E-4, -0.01957351","0.093561694, 0.15978, 0.34996","23.402569, 16.00003, 36.953342",,
179,74,"0,0,1",3,"-0.20903, 1.9941479E-4, -0.020838007","0.20903, 0.12, 0.189183","41.806, 11.980059, 21.0021",,
180,75,"0,0,1",1,"-0.205, 0.0063712, -0.179922","0.205, 0.314673, 0.140078","41.0, 30.830181, 32.0",,
181,76,"0,0,1",3,"-0.48, 0.3499999, -0.22","0.48, 1.0365, 0.22","96.0, 68.649994, 44.0",,
182,77,"0,0,1",2,"-0.375, 0.0, -0.12","0.375, 0.789773, 0.120007","75.0, 78.977295, 24.000702",,
183,78,"0,0,1",3,"-0.49, -1.3518333E-4, -0.333145","0.49, 0.513717, 0.306666","98.0, 51.38522, 63.9811",,
184,79,"0,0,1",2,"-2.0, 0.0, -0.25","2.0, 2.2, 0.25","400.0, 220.0, 50.0",,
185,80,"0,0,1",6,"-1.48989, -5.9604645E-8, -0.855","1.48989, 0.810389, 0.855","297.978, 81.038895, 171.0",,
186,81,"0,0,1",3,"-0.42, 2.43783E-4, -0.278254","0.42, 0.718483, 0.297007","84.0, 71.82392, 57.5261",,
187,82,"0,0,1",2,"-0.675, 2.193451E-5, -0.45","0.675, 2.16003, 0.449921","135.0, 216.0008, 89.992096",,
188,83,"0,0,1",3,"-0.35, 0.0, -0.150909","0.35, 0.65, 0.149091","70.0, 65.0, 30.0",,
189,84,"0,0,1",4,"-0.32475, -0.0022236109, -0.180023","0.32475, 0.519491, 0.179484","64.950005, 52.171463, 35.9507",,
190,85,"0,0,1",2,"-0.654911, 0.0, -0.375007","0.654911, 1.02, 0.375006","130.9822, 102.0, 75.0013",,
191,86,"0,0,1",2,"-0.2, 0.0, -0.1925","0.2, 2.03, 0.217855","40.0, 203.0, 41.0355",,
192,87,"0,0,1",2,"-0.159359, 0.0, -0.108383","0.159359, 1.37627, 0.09151089","31.8718, 137.627, 19.98939",,
193,88,"0,0,1",2,"-0.8, -2.9802322E-7, -0.125","0.8, 0.643424, 0.125","160.0, 64.34243, 25.0",,
194,89,"0,0,1",2,"-1.0, 0.0, -0.288","1.0, 2.1, 0.287288","200.0, 209.99998, 57.5288",,
195,90,"0,0,1",3,"-0.23, 0.0, -0.18","0.23, 0.65, 0.179753","46.0, 65.0, 35.9753",,
196,91,"0,0,1",2,"-0.3, 0.006789446, -0.49985796","0.3, 1.03771, 0.499649","60.000004, 103.09206, 99.9507",,
197,92,"0,0,1",5,"-0.225, 0.0, -0.23499998","0.225, 0.44, 0.23472801","45.0, 44.0, 46.9728",,
198,93,"0,0,1",3,"-0.555, 0.0, -0.266552","0.555, 0.439673, 0.266552","111.0, 43.9673, 53.310402",,
199,94,"0,0,1",4,"-0.400003, 0.0, -0.416458","0.400003, 1.16228, 0.41429698","80.000595, 116.228, 83.0755",,
200,95,"0,0,1",3,"-0.775, -5.9604645E-7, -0.200509","0.77500093, 1.1386, 0.200509","155.00009, 113.86006, 40.1018",,
201,96,"0,0,1",2,"-0.705, 0.0, -0.235","0.705, 1.53011, 0.235265","141.0, 153.011, 47.0265",,
202,97,"0,0,1",2,"-0.45, 0.0, -0.22","0.45, 1.489529, 0.21970901","90.0, 148.9529, 43.9709",,
203,98,"0,0,1",3,"-0.805, 0.0, -0.230001","0.805, 1.554008, 0.22999999","161.0, 155.4008, 46.0001",,
204,99,"0,0,1",4,"-1.095, 0.0, -1.132834","1.095, 1.022376, 1.063524","219.0, 102.237595, 219.63579",,
205,100,"0,0,1",4,"-0.9, 0.0, -1.015","0.9, 0.75, 1.015","180.0, 75.0, 203.0",,
206,101,"0,0,1",4,"-0.175, -1.7762184E-5, -0.175426","0.175, 1.40874, 0.18457401","35.0, 140.8758, 36.0",,
207,102,"0,0,1",2,"-0.775, 0.0, -0.1","0.775, 0.41, 0.1","155.0, 41.0, 20.0",,
208,103,"0,0,1",2,"-0.387706, -0.0033831522, -0.095991","0.387706, 0.0683831, 0.087025","77.5412, 7.176625, 18.301601",,
209,104,"0,0,1",2,"-0.7, 0.0, -0.075","0.7, 1.4, 0.10000001","140.0, 140.0, 17.5",,
210,105,"0,0,1",2,"-1.0488, 0.0, -0.075","1.0511999, 1.4, 0.10000001","210.0, 140.0, 17.5",,
211,106,"0,0,1",4,"-1.0488, 0.0, -0.075","1.0511999, 1.4, 0.10000001","210.0, 140.0, 17.5",,
212,107,"0,0,1",4,"-0.7, 0.0, -0.075","0.7, 1.4, 0.10000001","140.0, 140.0, 17.5",,
213,108,"0,0,1",4,"-0.35, 0.0, -0.075","0.35, 1.4, 0.10000001","70.0, 140.0, 17.5",,
214,109,"0,0,1",3,"-0.519924, 0.0, -0.739998","0.519924, 2.12, 0.09","103.984795, 211.99998, 82.9998",,"214,214_0"
214_0,109,"0,0,1",3,"-0.519924, 0.0, -0.15982","0.519924, 2.12, 0.09","103.984795, 211.99998, 24.982",,"214,214_0"
215,110,"0,0,1",4,"-0.490037, -0.010435104, -0.025000002","0.489962, 0.579565, 0.025074799","97.9999, 59.000008, 5.00748",,
216,111,"0,0,1",3,"-0.52840304, -0.007712841, -0.025000002","0.531517, 0.612741, 0.025000002","105.992004, 62.045383, 5.0",,
217,112,"0,0,1",3,"-0.19, 0.0, -0.19","0.19, 1.98358, 0.19","38.0, 198.358, 38.0",,
218,113,"0,0,1",5,"-0.42, -5.9604645E-8, -0.15899998","0.42, 0.4, 0.15899998","84.0, 40.000004, 31.8",,
219,114,"0,0,1",5,"-0.225, 0.0, -0.305","0.225, 0.825525, 0.30650002","45.0, 82.5525, 61.15",,
220,115,"0,0,1",5,"-0.155, 0.0, -0.145","0.155, 0.388715, 0.145","31.0, 38.8715, 29.0",,
221,116,"0,0,1",6,"-0.145, 0.0, -0.19","0.145, 0.41571, 0.19","29.0, 41.571, 38.0",,
222,117,"0,0,1",6,"-0.245, 0.0, -0.135","0.245, 0.32, 0.135","49.0, 32.0, 27.000002",,
223,118,"0,0,1",6,"-0.35, -1.1920929E-7, -0.49","0.35, 0.976392, 0.49","70.0, 97.639206, 98.0",,
224,119,"0,0,1",3,"-0.075, 0.0, -0.13715401","0.075, 0.171739, 0.14284602","15.000001, 17.1739, 28.0",,
225,120,"0,0,1",5,"-0.355003, 0.0, -0.135","0.35500002, 0.200004, 0.175","71.000305, 20.0004, 31.0",,
226,121,"0,0,1",6,"-0.184999, 0.0, -0.11495501","0.184999, 1.14888, 0.11500001","36.9998, 114.888, 22.995499",,
227,122,"0,0,1",8,"-0.240001, 0.0, -0.25","0.240001, 0.888618, 0.241903","48.0002, 88.8618, 49.1903",,
228,123,"0,0,1",4,"-0.6148579, 0.0029283762, -0.025","0.62516, 0.742432, 0.025","124.0018, 73.95036, 5.0",,
229,124,"0,0,1",1,"-0.340062, 0.009455144, -0.050425","0.340062, 0.979108, 0.049575","68.0124, 96.96528, 10.0",,
230,125,"0,0,1",3,"-0.5, 2.2536516E-4, -0.069024995","0.5000169, 0.593564, 0.0690255","100.00169, 59.333855, 13.80505",,
232,126,"0,0,1",4,"-0.400007, 0.0, -0.3","0.400007, 0.901373, 0.30000103","80.0014, 90.13731, 60.000103",,
233,127,"0,0,1",1,"-0.2, 0.0, -0.212222","0.2, 0.590293, 0.207552","40.0, 59.0293, 41.9774",,
235,128,"0,0,1",1,"-0.5, 0.0023070006, -0.25","0.5, 0.015575, 0.25","100.0, 1.3268, 50.0",,
236,129,"0,0,1",2,"-0.394956, 4.3809414E-5, -0.0148935","0.394956, 0.787513, 0.0148934","78.991196, 78.74692, 2.97869",,
237,130,"0,0,1",2,"-0.328829, 0.0, -0.40723","0.49655503, 1.42909, 0.432018","82.5384, 142.909, 83.924805",,
238,131,"0,0,1",1,"-1.25, 0.0, -0.75","1.25, 0.02, 0.75","250.0, 2.0, 150.0",,
239,132,"0,0,1",4,"-0.3, 4.386902E-5, -0.07488799","0.3, 1.79815, 0.0748156","60.000004, 179.81061, 14.97036",,
240,133,"0,0,1",3,"-0.189849, 0.0, -0.596036","0.189849, 1.80777, 0.755799","37.9698, 180.77701, 135.1835",,
241,134,"0,0,1",3,"-0.3, 0.00593853, -0.257218","0.3, 0.8351, 0.252782","60.000004, 82.91615, 51.0",,
242,135,"0,0,1",3,"-1.09, 2.1457672E-6, -0.33","1.09, 2.62793, 0.33","218.0, 262.7928, 66.0",,
243,136,"0,0,1",1,"-0.03, 3.5858154E-4, -0.03","0.03, 0.295193, 0.03","6.0, 29.48344, 6.0",,
244,137,"0,0,1",1,"-0.0395001, 0.0015856177, -0.0384332","0.0395, 0.200799, 0.0384332","7.90001, 19.921339, 7.6866403",,
245,138,"0,0,1",5,"-0.224248, 0.0, -0.124741","0.224248, 0.140822, 0.124741","44.8496, 14.0822, 24.9482",,
246,139,"0,0,1",2,"-0.399459, 0.0, -0.55","0.400541, 2.253, 0.059999883","80.0, 225.3, 60.99999",,"246,246_0"
246_0,139,"0,0,1",2,"-0.399459, 0.0, -0.0510001","0.400541, 2.253, 0.0599999","80.0, 225.3, 11.1",,"246,246_0"
247,140,"0,0,1",4,"-0.399459, 0.0, -0.55","0.400541, 2.253, 0.059999898","80.0, 225.3, 60.999992",,"247,247_0"
247_0,140,"0,0,1",4,"-0.399459, 0.0, -0.0510001","0.400541, 2.253, 0.06","80.0, 225.3, 11.10001",,"247,247_0"
248,141,"0,0,1",4,"-0.715044, -1.2397766E-5, -0.25","0.9349561, 1.99935, 0.25","165.0, 199.93623, 50.0",,
249,142,"0,0,1",2,"-0.267065, 0.0, -0.286687","0.267065, 1.13048, 0.291463","53.413, 113.04801, 57.815",,
250,143,"0,0,1",2,"-0.400006, 0.004451871, -0.22940502","0.400006, 0.691946, 0.229121","80.0012, 68.74941, 45.8526",,
251,144,"0,0,1",2,"-0.633977, 0.004451871, -0.620263","0.618102, 0.691946, 0.62523496","125.2079, 68.74942, 124.549805",,
252,145,"0,0,1",1,"-0.780945, 0.0, -0.418242","0.780945, 0.75, 0.418241","156.189, 75.0, 83.6483",,
253,146,"0,0,1",1,"-0.89390695, 0.0, -1.40331","0.906093, 3.29833, 1.39894","180.0, 329.833, 280.22498",,
254,147,"0,0,1",2,"-0.84, -0.004999876, -0.84","0.84, 3.61213, 0.84","168.0, 361.71298, 168.0",,
255,148,"0,0,1",2,"-0.225, 0.0, -0.254437","0.225, 1.12979, 0.195102","45.0, 112.979, 44.953903",,
256,149,"0,0,1",4,"-0.0781226, 8.889735E-4, -0.12622198","0.0781226, 0.479667, 0.141826","15.62452, 47.877804, 26.8048",,
257,150,"0,0,1",4,"-0.075, 9.985268E-5, -0.0602989","0.075, 0.121287, 0.024154399","15.000001, 12.118715, 8.44533",,
258,151,"0,0,1",3,"-0.109402, 0.0, -0.109402","0.109402, 0.549866, 0.109402","21.8804, 54.986603, 21.8804",,
259,152,"0,0,1",2,"-0.966593, 0.0, -0.49998397","0.966593, 0.795878, 0.509069","193.3186, 79.5878, 100.905304",,
260,153,"0,0,1",2,"-1.05, 9.381771E-5, -0.535","1.05, 0.743228, 0.535","209.99998, 74.313416, 107.00001",,
261,154,"0,0,1",2,"-0.655, 0.0, -0.49998397","0.655, 0.795878, 0.509069","131.0, 79.5878, 100.905304",,
262,155,"0,0,1",3,"-0.53, 9.381771E-5, -0.545","0.53, 0.743228, 0.545034","105.99999, 74.313416, 109.0034",,
263,156,"0,0,1",2,"-0.79354095, 1.090765E-4, -0.22","0.77611804, 0.81339, 0.22","156.96591, 81.328094, 44.0",,
264,157,"0,0,1",3,"-0.345, 0.0, -0.269991","0.345, 0.856546, 0.319308","69.0, 85.6546, 58.9299",,
265,158,"0,0,1",3,"-0.149382, 7.160008E-4, -0.10939","0.149382, 0.348446, 0.10939","29.8764, 34.773, 21.878",,
266,159,"0,0,1",3,"-0.4, 2.3841858E-7, -0.27500004","0.4, 2.1, 0.275716","80.0, 209.99997, 55.0716",,
267,160,"0,0,1",3,"-0.215, 2.3841858E-7, -0.27500004","0.215, 2.1, 0.275716","43.0, 209.99997, 55.0716",,
268,161,"0,0,1",1,"-0.27557296, 0.0, -0.275001","0.274427, 2.10016, 0.27500004","55.0, 210.01599, 55.0001",,
269,162,"-0.7071067690849304,0,0.7071067690849304",3,"-0.41, 0.0, -0.41","0.41, 2.1, 0.41","115.78443, 209.99998, 96.692474",,
270,163,"0,0,1",4,"-0.95, 0.0, -0.56999993","0.95, 1.82609, 0.530972","190.0, 182.609, 110.0972",,
271,164,"0,0,1",3,"-0.65, 0.0, -0.26","0.65, 1.8, 0.25959897","130.0, 180.0, 51.9599",,
272,165,"0,0,1",3,"-0.44, 0.0, -0.26","0.44, 1.8, 0.25959897","88.0, 180.0, 51.9599",,
273,166,"0,0,1",3,"-0.45, 0.0, -0.4","0.45, 0.669973, 0.4","90.0, 66.9973, 80.0",,
274,167,"0,0,1",3,"-0.45, 2.3841858E-7, -0.185","0.45, 0.74, 0.184354","90.0, 73.99998, 36.935402",,
275,168,"0,0,1",2,"-1.22487, 0.005464554, -0.0638741","1.22487, 2.10239, 0.0650055","244.974, 209.69254, 12.88796",,
276,169,"0,0,1",2,"-1.18299, 5.786419E-4, -0.0967436","1.18299, 2.08868, 0.0998435","236.59799, 208.81015, 19.65871",,
277,170,"0,0,1",2,"-0.2305, -7.1287155E-5, -0.24534799","0.2305, 0.828909, 0.267905","46.1, 82.898026, 51.325302",,
278,171,"0,0,1",4,"-0.183426, 0.0, -0.183426","0.183426, 0.969871, 0.183426","36.6852, 96.9871, 36.6852",,
279,172,"0,0,1",1,"-0.035, 6.0750544E-4, -0.025","0.035, 0.0706075, 0.025","7.0, 6.9999995, 5.0",,
280,173,"0,0,1",4,"-0.035, 6.0750544E-4, -0.024999999","0.035, 0.0706075, 0.0249976","7.0, 6.9999995, 4.9997597",,
281,174,"0,0,1",3,"-0.3, 1.3113022E-6, -0.33000004","0.3, 0.78, 0.33000004","60.000004, 77.99987, 66.0",,
282,175,"0,0,1",3,"-0.3, 1.3113022E-6, -0.33000004","0.3, 0.78, 0.33000004","60.000004, 77.99987, 66.0",,
283,176,"0,0,1",7,"-0.45, 1.3113022E-6, -0.33000004","0.45, 0.78, 0.33000004","90.0, 77.99987, 66.0",,
284,177,"0,0,1",3,"-0.629995, 1.3113022E-6, -0.629997","0.63017905, 0.78, 0.629696","126.017395, 77.99987, 125.9693",,
285,178,"0,0,1",4,"-0.600001, 1.3113022E-6, -0.33000004","0.59999907, 1.03839, 0.33000004","120.0, 103.838875, 66.0",,
286,179,"0,0,1",3,"-0.3, 0.0, -0.215","0.3, 0.770002, 0.21898898","60.000004, 77.0002, 43.3989",,
287,180,"0,0,1",3,"-0.3, 0.0, -0.215","0.3, 0.770002, 0.21898898","60.000004, 77.0002, 43.3989",,
288,181,"0,0,1",2,"-0.3, 0.0, -0.32","0.3, 1.97, 0.32398897","60.000004, 197.0, 64.398895",,
289,182,"0,0,1",3,"-0.3, 0.0, -0.32","0.3, 1.97, 0.323084","60.000004, 197.0, 64.308395",,
290,183,"0,0,1",3,"-0.22, 1.3113022E-6, -0.33000004","0.220009, 0.78, 0.33000004","44.0009, 77.99987, 66.0",,
291,184,"0,0,1",3,"-0.220009, 1.3113022E-6, -0.33000004","0.22, 0.78, 0.33000004","44.0009, 77.99987, 66.0",,
292,185,"0,0,1",1,"-0.4, 0.0, -0.2","0.4, 0.45, 0.2","80.0, 45.0, 40.0",,
293,186,"0,0,1",1,"-0.575, 0.0, -0.175","0.575, 1.62, 0.175","115.0, 162.0, 35.0",,
294,187,"0,0,1",2,"-0.790302, -5.9604645E-8, -0.792333","0.789331, 0.8, 0.78756","157.9633, 80.0, 157.98929",,
295,188,"0,0,1",4,"-0.3, 1.3113022E-6, -0.33000004","0.3, 1.03488, 0.33000004","60.000004, 103.48788, 66.0",,
311,189,"0,0,1",2,"-0.27500004, 0.0, -0.275515","0.275001, 0.5, 0.264128","55.0001, 50.0, 53.9643",,
312,190,"0,0,1",3,"-0.3, 6.481409E-4, -0.249826","0.3, 0.498236, 0.249826","60.000004, 49.758785, 49.9652",,
313,191,"0,0,1",3,"-0.14, 0.0018436313, -0.0139619","0.14, 0.278156, 0.014038101","28.0, 27.631239, 2.8000002",,
314,192,"0,0,1",2,"-0.31000096, 0.0, -0.075","0.31, 1.0, 0.075","62.0001, 100.0, 15.000001",,
315,193,"0,0,1",1,"-0.249901, 0.0, -0.204947","0.249901, 0.76, 0.204947","49.980198, 76.0, 40.9894",,
316,194,"0,0,1",3,"-0.18000099, 1.04, -0.110005","0.18, 2.000001, 0.110005","36.0001, 96.00009, 22.001",,
317,195,"0,0,1",3,"-0.18, 1.04, -0.110005","0.18000102, 2.000001, 0.110005","36.0001, 96.00009, 22.001",,
318,196,"0,0,1",2,"-0.21, 0.0, -0.23273298","0.21, 0.529325, 0.23285899","42.0, 52.932503, 46.5592",,
319,197,"0,0,1",8,"-0.095, 0.0, -0.108776","0.095, 0.300509, 0.111223996","19.0, 30.050901, 22.0",,
320,198,"0,0,1",8,"-0.15, -0.0014933348, -0.0935398","0.150509, 0.219039, 0.0935399","30.050901, 22.053234, 18.70797",,
321,199,"0,0,1",3,"-1.169892, 8.8989735E-5, -0.525126","1.169892, 0.953742, 0.524874","233.9784, 95.3653, 104.99999",,
322,200,"0,0,1",1,"-0.145, 0.0, -0.08498651","0.145, 0.0690286, 0.0850952","29.0, 6.9028606, 17.00817",,
323,201,"0,0,1",1,"-0.277079, -5.5003166E-4, -0.34574598","0.29796696, 1.459163, 0.362184","57.5046, 145.97128, 70.793",,
324,202,"0,0,1",1,"-0.265755, -4.4894218E-4, -0.153595","0.265755, 1.800503, 0.146265","53.151, 180.09521, 29.986",,
325,203,"0,0,1",1,"-0.904687, 0.0062556863, -0.344492","0.909893, 0.501903, 0.346557","181.458, 49.564735, 69.104904",,
326,204,"0,0,1",2,"-1.0, 0.0, -0.47449404","1.0, 2.650048, 0.475506","200.0, 265.0048, 95.0",,
327,205,"0,0,1",2,"-1.081049, 0.0, -0.60758495","1.0789509, 2.650048, 0.39345595","216.0, 265.0048, 100.104095",,
328,206,"0,0,1",2,"-1.0, 7.045269E-4, -0.0100001","1.0, 2.6507, 0.01","200.0, 264.99954, 2.00001",,
329,207,"0,0,1",2,"-2.0, 7.045269E-4, -0.0100001","1.9998999, 2.6507, 0.01","399.99, 264.99954, 2.00001",,
